sample_id	rep_type(s)	length	host_species	host_taxid	reported_host_range_taxid	pmid	pmcid	doi	year	author	notes
KC170280	IncN	56683	uncultured bacterium	77133	28211	24096417	PMC3837812	10.1128/AEM.02252-13	2013	Celeste J. Brown	plasmid conjugative
KC170280	IncN	56683	uncultured bacterium	77133	28211	24096417	PMC3837812	10.1128/AEM.02252-13	2013	Celeste J. Brown	plasmid conjugative
KC170281	IncU	33736	uncultured bacterium	77133	28211	24096417	PMC3837812	10.1128/AEM.02252-13	2013	Celeste J. Brown	plasmid conjugative
KC170284	IncU	34006	uncultured bacterium	77133	28211	24096417	PMC3837812	10.1128/AEM.02252-13	2013	Celeste J. Brown	plasmid conjugative
KC170280	rep_cluster_2358	56683	uncultured bacterium	77133	28211	24096417	PMC3837812	10.1128/AEM.02252-13	2013	Celeste J. Brown	plasmid conjugative
AY950444	rep_cluster_620	62689	Pseudomonas putida 	303	2	21468020		10.1038/ncomms1267	2011	Norberg,P.	
NC_025029	rep_cluster_1431	56803	Pseudomonas putida 	303	28216	20018208	PMC2819548	10.1016/j.plasmid.2009.11.005	2010	Sen,D.	pAKD4 (Delta clade; GenBank accession no. NC_025029) (PMID: 27895009).plasmid conjugative
NC_012885	IncA	143963	Aeromonas hydrophila	644	91347	19482926	PMC2715731		2009	Fricke WF	
KF551948	IncC	120572	Vibrio cholerae	666	91347	24567731	PMC3915882		2014	Carraro N	Enterobacteriaceae,Vibrio cholerae
FN428572	rep_cluster_2335	2699	Salmonella enterica	90371	91347	20008783	PMC2812132 	10.1128/AAC.01160-09	2010	Pallecchi,L.	Plasmid identical to pECY6-7 was identified in a Salmonella enterica serovar Typhimurium strain of human origin isolated in The Netherlands (GenBank accession no. FN428572) (14), suggesting that the dissemination of this plasmid could be even more widespread
FJ705807	IncA	143963	Aeromonas hydrophila	644	543	19482926	PMC2715731		2009	Fricke WF	
CP000603	IncC	182913	Yersinia pestis	373665	543	20138094			2010	Lindsey RL	
CP000602	IncC	158038	Yersinia ruckeri	29486	543	19482926	PMC2715731		2009	Fricke WF	
NC_010558	IncFIA	168113	Escherichia coli	562	543	20851899	PMC2976429	10.1128/JB.00277-10	2010	Suzuki H	
NC_002483	IncFIA	99159	Escherichia coli	83333	543	28842132		10.1016/j.plasmid.2017.08.003 	2017	Gama JA	From Fig S3
NC_008460	IncFIA	120730	Escherichia coli	562	543	20851899	PMC2976431	10.1128/JB.00277-10	2010	Suzuki H	
NC_011812	IncFIA	72946	Escherichia coli	562	543	20851899	PMC2976430	10.1128/JB.00277-10	2010	Suzuki H	
NC_005327	IncFIA	92353	Escherichia coli	562	543	20851899	PMC2976428	10.1128/JB.00277-10	2010	Suzuki H	
NC_010558	IncFIA	168113	Escherichia coli	562	543	20851899	PMC2976429	10.1128/JB.00277-10	2010	Suzuki H	
NC_008460	IncFIA	120730	Escherichia coli	562	543	20851899	PMC2976431	10.1128/JB.00277-10	2010	Suzuki H	
NC_002483	IncFIA	99159	Escherichia coli	83333	543	28842132		10.1016/j.plasmid.2017.08.003 	2017	Gama JA	From Fig S3
NC_011812	IncFIA	72946	Escherichia coli	562	543	20851899	PMC2976430	10.1128/JB.00277-10	2010	Suzuki H	
NC_005327	IncFIA	92353	Escherichia coli	562	543	20851899	PMC2976428	10.1128/JB.00277-10	2010	Suzuki H	
NC_002134	IncFIA	94281	Shigella flexneri	1288825	543	20851899	PMC2976433		2010	Suzuki H	
NC_002134	IncFIA	94281	Shigella flexneri	1288825	543	20851899	PMC2976433		2010	Suzuki H	
NC_004998	IncFIB	125491	Escherichia coli	562	543	20851899	PMC2976427	10.1128/JB.00277-10	2010	Suzuki H	
NC_010488	IncFIB	130440	Escherichia coli	439855	543	20851899	PMC2976432	10.1128/JB.00277-10	2010	Suzuki H	
NC_004998	IncFIB	125491	Escherichia coli	562	543	20851899	PMC2976427	10.1128/JB.00277-10	2010	Suzuki H	
NC_010488	IncFIB	130440	Escherichia coli	439855	543	20851899	PMC2976432	10.1128/JB.00277-10	2010	Suzuki H	
