file_id	cluster_id	contig_id	contig_length	circularity_status	rep_type	rep_type_accession	relaxase_type	relaxase_type_accession	mash_nearest_neighbor	 mash_neighbor_distance	repetitive_dna_id	match_type	score	contig_match_start	contig_match_end
SRR3703080_illumina_unicycler.fasta	476	SRR3703080_illumina_unicycler.fasta|8|length=91194|depth=3.25x	91194	Incomplete	IncI1	KY865323_00122,CP011336_00018	MOBP	NC_019097	CP016520	0.000508006					
SRR3703080_illumina_unicycler.fasta	53	SRR3703080_illumina_unicycler.fasta|30|length=37698|depth=2.86x|circular=true	37698	Circular	IncX1	KC853434_00019	MOBP	NC_019096_00001	CP016518	0					
SRR3703080_illumina_unicycler.fasta	23	SRR3703080_illumina_unicycler.fasta|153|length=6647|depth=20.11x|circular=true	6647	Circular	ColRNAI	AJ627566	MOBP	NC_019076_00002	CP016519	9.55247e-05					
SRR3703080_illumina_unicycler.fasta	chromosome	SRR3703080_illumina_unicycler.fasta|71|length=19698|depth=0.83x	19698	Incomplete											
SRR3703080_illumina_unicycler.fasta	chromosome	SRR3703080_illumina_unicycler.fasta|101|length=13496|depth=0.77x	13496	Incomplete											
SRR3703080_illumina_unicycler.fasta	chromosome	SRR3703080_illumina_unicycler.fasta|191|length=4398|depth=0.64x	4398	Incomplete											
SRR3703080_illumina_unicycler.fasta	chromosome	SRR3703080_illumina_unicycler.fasta|218|length=2978|depth=0.53x	2978	Incomplete											
SRR3703080_illumina_unicycler.fasta	chromosome	SRR3703080_illumina_unicycler.fasta|64|length=21420|depth=0.86x	21420	Incomplete											
SRR3703080_illumina_unicycler.fasta	chromosome	SRR3703080_illumina_unicycler.fasta|75|length=18445|depth=0.85x	18445	Incomplete											
SRR3703080_illumina_unicycler.fasta	chromosome	SRR3703080_illumina_unicycler.fasta|225|length=2439|depth=0.80x	2439	Incomplete											
SRR3703080_illumina_unicycler.fasta	chromosome	SRR3703080_illumina_unicycler.fasta|81|length=16860|depth=1.21x	16860	Incomplete											
SRR3703080_illumina_unicycler.fasta	chromosome	SRR3703080_illumina_unicycler.fasta|211|length=3412|depth=0.82x	3412	Incomplete											
SRR3703080_illumina_unicycler.fasta	chromosome	SRR3703080_illumina_unicycler.fasta|121|length=10245|depth=0.90x	10245	Incomplete											
SRR3703080_illumina_unicycler.fasta	chromosome	SRR3703080_illumina_unicycler.fasta|92|length=15095|depth=0.70x	15095	Incomplete											
SRR3703080_illumina_unicycler.fasta	chromosome	SRR3703080_illumina_unicycler.fasta|207|length=3578|depth=0.78x	3578	Incomplete											
SRR3703080_illumina_unicycler.fasta	chromosome	SRR3703080_illumina_unicycler.fasta|149|length=7411|depth=0.73x	7411	Incomplete											
SRR3703080_illumina_unicycler.fasta	chromosome	SRR3703080_illumina_unicycler.fasta|134|length=9038|depth=0.86x	9038	Incomplete											
SRR3703080_illumina_unicycler.fasta	chromosome	SRR3703080_illumina_unicycler.fasta|142|length=8245|depth=0.77x	8245	Incomplete											
SRR3703080_illumina_unicycler.fasta	chromosome	SRR3703080_illumina_unicycler.fasta|77|length=18132|depth=0.90x	18132	Incomplete											
SRR3703080_illumina_unicycler.fasta	chromosome	SRR3703080_illumina_unicycler.fasta|177|length=5208|depth=0.72x	5208	Incomplete											
