id	size	gc_content	md5	organism	primary_cluster_id	primary_dist	secondary_cluster_id	secondary_dist	rep_type(s)	rep_type_accession(s)	relaxase_type(s)	relaxase_type_accession(s)
CP031654	89643	47.49394821681559	571dfbf63c07efe6500e59e7fca56cdb	unknown	AA379	0.06	AI397	0.025	IncY	000230__CP009168_00001		
CP024347	9656	28.73860811930406	7390a9a223a2c06ae7b1ddb32caaa918	unknown	AD875	0.06	AN547	0.025				
NC_007801	86072	57.81438795427084	cbacd11b16d675088502eab01406c5fd	unknown	AE299	0.06	AO051	0.025	rep_cluster_1029	000278__CP000265_00055	MOBQ	NC_007801_00012
NC_019939	2804	61.84022824536377	835f5f92e9aec3e4925c2cafe758d179	unknown	AG177	0.06	AQ198	0.025	rep_cluster_476	001830__CP003074		
CP006757	71507	44.89071000041954	0410d338c352d48bcce82cbf7401f5df	unknown	AA996	0.06	AJ509	0.025	IncFII,rep_cluster_645	000122__JQ418538,002101__NC_004564_00056	MOBF	NC_010157_00072
NC_021665	9957	39.1583810384654	8345f00ab66abb2545863da25470b8ce	unknown	AB950	0.06	AK935	0.025	ColRNAI_rep_cluster_1857,rep_cluster_1018	000008__AJ627566,000268__U32369_00002		
LT963398	81323	55.11110018076067	405c1443cbde7791c4daa1f4a3da47ce	unknown	AA233	0.06	AH953	0.025	rep_cluster_283	001575__FR820586_00001		
CP034364	25471	46.73550312119666	57ce25630991ccc6641018954c33bdc0	unknown	AG753	0.06	AQ809	0.025	ColRNAI_rep_cluster_1857	000010__KY807921		
CP042264	323281	59.144521329740996	241254378d050e687f2405a6ecb4af9f	unknown	AG110	0.06	AQ128	0.025				
MK181562	107705	50.72559305510422	fa1501ae9c9573c476e6cd90a8940bf0	unknown	AA474	0.06	AI597	0.025	IncI1	000145__HE610900_00001	MOBP	NC_019097
CP013533	352129	61.7603207915281	2660e7236070771fa8edcd0d68e3be0e	unknown	AC693	0.06	AL986	0.025	rep_cluster_841	002324__CP013491_00052		
CP027110	131195	56.84820305651892	51f8625e4c02a3d45e165060f4b4289d	unknown	AD164	0.06	AM618	0.025	rep_cluster_574	001975__CP004092_00108		
U16027	7784	34.185508735868446	e4fa79472028bc975e7176300ae37dcd	unknown	AA219	0.06	AH934	0.025	Inc11	000053__NC_002798_00004		
CP036203	93880	49.73370259906263	e9ea2aefb3986e45890183f55fc3ac60	unknown	AA474	0.06	AI610	0.025	IncI1	000145__HE610900_00001	MOBP	NC_019097
AP014876	71214	51.95186339764653	47b9b635a77207e825cb9c1451f2bef6	unknown	AA338	0.06	AI281	0.025	IncFIIA,IncFII	000136__AP014877_00014,000121__CP024805	MOBF	NC_017627_00068
KT207463	4374	54.961133973479654	36e033267b9e936654e3088d52e9e8b8	unknown	AD093	0.06	AM524	0.025				
CP028567	241090	55.43780330996723	3178f092d0c26270fd713d3c5d6e3da9	unknown	AC287	0.06	AL405	0.025	rep_cluster_2037	001465__CP007568		
CP011573	13981	54.70996352192261	e5be1ab6347aa65834031f590aa9653b	unknown	AA356	0.06	AI315	0.025	rep_cluster_1451	000793__CP011573		
CP045366	4597	58.40765716771808	3abe6044e598777171eb8d3c7e57902a	unknown	AA927	0.06	AJ401	0.025				
LC155907	19889	63.56780129719946	43d08b664556585062612f987e70d3dc	unknown	AA470	0.06	AI580	0.025	rep_cluster_995	002480__NC_019220_00009	MOBQ	NC_020452_00007
HG796795	6931	41.22060308757755	2733e30e22f5e3679c1bbde7b8cfae5b	unknown	AF433	0.06	AP381	0.025				
CP020056	136975	52.13360102208432	eb59f19be3db4c595bc96f8a4e20ed77	unknown	AA860	0.06	AJ272	0.025	IncA/C2	000092__CP025470	MOBH,MOBH	NC_012690_00071,NC_012885_00072
CP003112	12068	48.931057341730195	573f4a063576d76a6c38b1df7548f361	unknown	AA143	0.06	AH777	0.025	ColRNAI_rep_cluster_1987	000020__CP023920	MOBP	NC_019076_00002
CP040759	83454	59.20507105710931	4827e6eb1a1def39fbe0272366150d0d	unknown	AB553	0.06	AK389	0.025				
CP020494	54067	51.32520761277674	9954643d1b6fcc090211ce7d17fca20b	unknown	AC027	0.06	AL045	0.025	IncI1	000145__HE610900_00001	MOBP	NC_019097
MN232195	199925	44.63523821433037	8907980f4bd119ccf516929b90cf0e81	unknown	AA738	0.06	AJ047	0.025	rep_cluster_1088,IncH	000340__KU353730,000139__NC_012555_00001	MOBH	NC_012555_00231
CP001119	3373	55.11414171360806	4088950544d894967f9b7759ad3cd081	unknown	AA163	0.06	AH811	0.025			MOBP	NC_014003_00004
CP001360	35940	21.822481914301616	07e9c1299999feb59ea5bd834e3ed504	unknown	AF308	0.06	AP243	0.025	rep_cluster_768	002247__CP001360_00022		
CP042212	6149	36.0709058383477	5d3746a62c4201037ebcad82926d7f3a	unknown	AB519	0.06	AK329	0.025	rep_cluster_137,rep_cluster_137	000691__NC_020556_00001,000696__KM583811_00001	MOBP	NC_014257_00004
CP006641	103644	50.94072015746208	f3c3886cba3cb2a7b925cc43c7378537	unknown	AA474	0.06	AI597	0.025	IncI1	000145__HE610900_00001	MOBP	NC_019097
JQ664550	6410	53.97815912636506	688f6ebec35bf24cf5f75e57d95fbaef	unknown	AF319	0.06	AP256	0.025	rep_cluster_1914	001354__JQ664550_00001	MOBV	NC_019319_00011
